Location,Sex,year,age,px,fx
Argentina,Female,1964,56,0.99089177,0
Argentina,Female,1964,57,0.99028244,0
Argentina,Female,1964,58,0.98970798,0
Argentina,Female,1964,59,0.98915023,0
Argentina,Female,1964,60,0.98856371,0
Argentina,Female,1964,61,0.98787264,0
Argentina,Female,1964,62,0.98700073,0
Argentina,Female,1964,63,0.9858711,0
Argentina,Female,1964,64,0.98442035,0
Argentina,Female,1964,65,0.98261017,0
Argentina,Female,1964,66,0.98041789,0
Argentina,Female,1964,67,0.97785305,0
Argentina,Female,1964,68,0.97493929,0
Argentina,Female,1964,69,0.97171207,0
Argentina,Female,1964,70,0.96820764,0
Argentina,Female,1964,71,0.96444155,0
Argentina,Female,1964,72,0.96037612000000006,0
Argentina,Female,1964,73,0.95586584,0
Argentina,Female,1964,74,0.95062765,0
Argentina,Female,1964,75,0.94414958,0
Argentina,Female,1964,76,0.93580649,0
Argentina,Female,1964,77,0.92491658,0
Argentina,Female,1964,78,0.91098741,0
Argentina,Female,1964,79,0.89434738,0
Argentina,Female,1964,80,0.87627099,0
Argentina,Female,1964,81,0.86020177,0
Argentina,Female,1964,82,0.84368231,0
Argentina,Female,1964,83,0.82673388,0
Argentina,Female,1964,84,0.80937834,0
Argentina,Female,1964,85,0.79163807,0
Argentina,Female,1964,86,0.77353587,0
Argentina,Female,1964,87,0.75509487,0
Argentina,Female,1964,88,0.73633846,0
Argentina,Female,1964,89,0.71729017,0
Argentina,Female,1964,90,0.69797362,0
Argentina,Female,1964,91,0.67285666,0
Argentina,Female,1964,92,0.64858422,0
Argentina,Female,1964,93,0.62489508,0
Argentina,Female,1964,94,0.6006534,0
Argentina,Female,1964,95,0.58308948,0
Argentina,Female,1964,96,0.56279514,0
Argentina,Female,1964,97,0.54331928,0
Argentina,Female,1964,98,0.52477263,0
Argentina,Female,1964,99,0.50724029,0
Argentina,Female,1964,100,0,0
Argentina,Female,1965,0,0.95008773,0
Argentina,Female,1965,1,0.99557196,0
Argentina,Female,1965,2,0.99700344,0
